comparison,sampling_sd,spec_sd,ratio
state-level sampling vs five official maps,0.001169430239594897,0.01673941836221082,14.314165818056432
within-configuration sampling vs five maps,0.0011355682766393184,0.01673941836221082,14.741005632660544
zoning only at fixed k=9,0.0012060407569467974,0.018318034829297555,15.188570306422594
