wave,weighting,gini,theil,share_between_k9,pct_lost_k9
2025-08,population,0.3207047468964994,0.17194576906551154,0.5682148023730983,43.17851976269017
2025-08,equal,0.3666066664010216,0.24892492544590722,0.25869738434595857,74.13026156540414
2025-08,usage,0.30696835728861227,0.1558573936560074,0.5307607534614851,46.923924653851486
2025-11,population,0.27581874097838255,0.1317576564416846,0.5209979169764607,47.90020830235393
2025-11,equal,0.3185204210573679,0.1877127959965479,0.29530606917153324,70.46939308284668
2025-11,usage,0.29273795007495773,0.14142234689999872,0.5694730117399567,43.05269882600433
2026-02,population,0.21367360548543934,0.07703864035432369,0.5633944849062313,43.660551509376866
2026-02,equal,0.2860221822718133,0.15728104729220282,0.30539900844187856,69.46009915581214
2026-02,usage,0.20056093244414608,0.07545701227196071,0.4426709228902691,55.73290771097309
2026-04,population,0.20830664588425385,0.07263109950277417,0.5421680888240284,45.783191117597156
2026-04,equal,0.28216587212124544,0.1449477054969221,0.30484284786615506,69.51571521338448
2026-04,usage,0.1854950388401584,0.06269126556350847,0.46606917937664355,53.39308206233564
2026-05,population,0.2176817728328181,0.0770960302675399,0.5902471451521571,40.97528548478429
2026-05,equal,0.277232617441157,0.1342594098051009,0.339299234613075,66.0700765386925
2026-05,usage,0.19172788811309494,0.06316014891344668,0.5496092126723655,45.03907873276345
