wave,grouping,k,total,between,within,share_between
2025-08,State (k=51),51,0.17194576906551154,,,1.0
2025-08,Census region (k=4),4,0.17194576906551154,0.08277213246344642,0.08917363660206512,0.4813851071375309
2025-08,Time zone (k=6),6,0.17194576906551154,0.08190735840645035,0.09003841065906132,0.47635576526017076
2025-08,BEA region (k=8),8,0.17194576906551154,0.09954983160346056,0.07239593746205107,0.5789606347657904
2025-08,Census division (k=9),9,0.17194576906551154,0.09770213118845003,0.07424363787706148,0.5682148023730983
2025-08,Federal region (k=10),10,0.17194576906551154,0.1011327572793562,0.07081301178615546,0.5881665936242054
2025-11,State (k=51),51,0.1317576564416846,,,1.0
2025-11,Census region (k=4),4,0.1317576564416846,0.05418711318624155,0.07757054325544299,0.4112634866894778
2025-11,Time zone (k=6),6,0.1317576564416846,0.031690045770952927,0.10006761067073186,0.240517679403161
2025-11,BEA region (k=8),8,0.1317576564416846,0.06518264863601417,0.06657500780567042,0.49471621153844475
2025-11,Census division (k=9),9,0.1317576564416846,0.06864546455181783,0.06311219188986676,0.5209979169764607
2025-11,Federal region (k=10),10,0.1317576564416846,0.07870115304714916,0.05305650339453555,0.5973174931354518
2026-02,State (k=51),51,0.07703864035432369,,,1.0
2026-02,Census region (k=4),4,0.07703864035432369,0.03142527590099963,0.04561336445332399,0.4079157648222426
2026-02,Time zone (k=6),6,0.07703864035432369,0.02895682043808415,0.04808181991623956,0.3758739809646574
2026-02,BEA region (k=8),8,0.07703864035432369,0.04004742546150073,0.03699121489282296,0.5198355692326692
2026-02,Census division (k=9),9,0.07703864035432369,0.043403145100300605,0.03363549525402303,0.5633944849062313
2026-02,Federal region (k=10),10,0.07703864035432369,0.03914782744225478,0.03789081291206896,0.5081583379743235
2026-04,State (k=51),51,0.07263109950277417,,,1.0
2026-04,Census region (k=4),4,0.07263109950277417,0.02920998492885106,0.04342111457392308,0.40216911390327187
2026-04,Time zone (k=6),6,0.07263109950277417,0.025851837817004338,0.04677926168577,0.35593344991310394
2026-04,BEA region (k=8),8,0.07263109950277417,0.03676310417586148,0.03586799532691258,0.5061620218823385
2026-04,Census division (k=9),9,0.07263109950277417,0.03937826440660692,0.03325283509616718,0.5421680888240284
2026-04,Federal region (k=10),10,0.07263109950277417,0.03536237903305604,0.03726872046971814,0.48687654840892725
2026-05,State (k=51),51,0.0770960302675399,,,1.0
2026-05,Census region (k=4),4,0.0770960302675399,0.03354981623215785,0.0435462140353821,0.43516917947309003
2026-05,Time zone (k=6),6,0.0770960302675399,0.03119597149959887,0.04590005876794133,0.4046378444044667
2026-05,BEA region (k=8),8,0.0770960302675399,0.04200548207952024,0.035090548188019814,0.5448462383050351
2026-05,Census division (k=9),9,0.0770960302675399,0.045505711767979726,0.03159031849956012,0.5902471451521571
2026-05,Federal region (k=10),10,0.0770960302675399,0.04081019636091314,0.03628583390662685,0.5293423827308997
